%DataLog%
Filename: LONG_DRIVE_BMW_M3_S58.csv
Vehicle ID: BMW-M3-G80-S58
Logger: Bootmod3 v2.5.1
--------------------------------------------------
Timestamp [s],(RAM) Engine Speed [1/min],Accel. Pedal [%],Throttle Angle [%],Boost (Pre-Throttle) [psig],(RAM) Boost Pressure (Target) [psig],Lambda Act. [AFR],Mass Air Flow [g/s],Ignition Timing [deg],Ignition Timing Corr. Cyl 3 [deg],HPFP Act. [psig],LPFP Act. (Raw) [psig],WGDC (Actual) [%],Oil Temp [deg C],Coolant Temp [deg C],Vehicle Speed [mph],Gear [-],STFT [%],Battery Voltage [V]
2.001,1190.0,0.0,12.0,-7.0,24.5,14.62,8.0,30.6,0.0,1182.0,71.0,8.4,50.6,60.4,0.0,1,0.76,13.74
2.101,1200.0,0.0,12.0,-7.0,24.5,14.61,5.58,30.6,0.0,1207.0,71.0,8.4,50.6,60.4,0.0,1,0.87,13.74
2.201,1190.0,0.0,12.0,-7.0,24.5,14.6,7.95,30.6,0.0,1185.0,71.0,8.4,50.6,60.4,0.0,1,0.95,13.74
2.301,1200.0,0.0,12.0,-7.0,24.5,14.6,12.62,30.6,0.0,1217.0,71.0,8.4,50.6,60.4,0.0,1,0.99,13.74
2.401,1210.0,0.0,12.0,-7.0,24.5,14.6,12.04,30.6,0.0,1182.0,71.0,8.4,50.7,60.4,0.0,1,1.0,13.74
2.501,1210.0,0.0,12.0,-7.0,24.5,14.6,12.1,30.6,0.0,1213.0,71.0,8.4,50.7,60.4,0.0,1,0.96,13.74
2.601,1180.0,0.0,12.0,-7.0,24.5,14.61,10.09,30.6,0.0,1169.0,71.0,8.4,50.7,60.5,0.0,1,0.88,13.74
2.701,1190.0,0.0,12.0,-7.0,24.5,14.62,9.92,30.6,0.0,1231.0,71.0,8.4,50.7,60.5,0.0,1,0.77,13.74
2.801,1210.0,0.0,12.0,-7.0,24.5,14.64,9.08,30.6,0.0,1189.0,71.0,8.4,50.8,60.5,0.0,1,0.63,13.74
2.901,1200.0,0.0,12.0,-7.0,24.5,14.65,9.42,30.6,0.0,1200.0,71.0,8.4,50.8,60.5,0.0,1,0.46,13.74
3.002,1200.0,0.0,12.0,-7.0,24.5,14.67,8.55,30.6,0.0,1195.0,71.0,8.4,50.8,60.5,0.0,1,0.28,13.74
3.102,1210.0,0.0,12.0,-7.0,24.5,14.69,7.27,30.6,0.0,1208.0,71.0,8.4,50.9,60.5,0.0,1,0.08,13.74
3.202,1160.0,0.0,12.0,-7.0,24.5,14.71,8.97,30.6,0.0,1198.0,71.0,8.4,50.9,60.6,0.0,1,-0.12,13.74
3.302,1180.0,0.0,12.0,-7.0,24.5,14.73,9.42,30.6,0.0,1201.0,71.0,8.4,50.9,60.6,0.0,1,-0.31,13.74
3.402,1170.0,0.0,12.0,-7.0,24.5,14.75,11.47,30.6,0.0,1171.0,71.0,8.4,50.9,60.6,0.0,1,-0.49,13.74
3.502,1230.0,0.0,12.0,-7.0,24.5,14.77,11.93,30.6,0.0,1189.0,71.0,8.4,51.0,60.6,0.0,1,-0.66,13.74
3.602,1210.0,0.0,12.0,-7.0,24.5,14.78,10.26,30.6,0.0,1224.0,71.0,8.4,51.0,60.6,0.0,1,-0.79,13.74
3.702,1200.0,0.0,12.0,-7.0,24.5,14.79,9.97,30.6,0.0,1165.0,71.0,8.4,51.0,60.6,0.0,1,-0.9,13.74
3.802,1170.0,0.0,12.0,-7.0,24.5,14.8,11.33,30.6,0.0,1193.0,71.0,8.4,51.0,60.7,0.0,1,-0.97,13.74
3.902,1190.0,0.0,12.0,-7.0,24.5,14.8,6.04,30.6,0.0,1208.0,71.0,8.4,51.1,60.7,0.0,1,-1.0,13.74
4.002,1200.0,0.0,12.0,-7.0,24.5,14.8,9.17,30.6,0.0,1204.0,71.0,8.4,51.1,60.7,0.0,1,-0.99,13.74
4.102,1190.0,0.0,12.0,-7.0,24.5,14.79,12.45,30.6,0.0,1178.0,71.0,8.4,51.1,60.7,0.0,1,-0.94,13.74
4.202,1190.0,0.0,12.0,-7.0,24.5,14.79,9.76,30.6,0.0,1201.0,71.0,8.4,51.2,60.7,0.0,1,-0.85,13.74
4.302,1190.0,0.0,12.0,-7.0,24.5,14.77,9.36,30.6,0.0,1182.0,71.0,8.4,51.2,60.8,0.0,1,-0.73,13.74
4.402,1220.0,0.0,12.0,-7.0,24.5,14.76,11.41,30.6,0.0,1179.0,71.0,8.4,51.2,60.8,0.0,1,-0.58,13.74
4.502,1170.0,0.0,12.0,-7.0,24.5,14.74,11.49,30.6,0.0,1227.0,71.0,8.4,51.2,60.8,0.0,1,-0.41,13.74
4.602,1220.0,0.0,12.0,-7.0,24.5,14.72,12.03,30.6,0.0,1163.0,71.0,8.4,51.3,60.8,0.0,1,-0.22,13.74
4.702,1160.0,0.0,12.0,-7.0,24.5,14.7,6.54,30.6,0.0,1213.0,71.0,8.4,51.3,60.8,0.0,1,-0.02,13.74
4.802,1200.0,0.0,12.0,-7.0,24.5,14.68,10.73,30.6,0.0,1202.0,71.0,8.4,51.3,60.8,0.0,1,0.17,13.74
4.902,1230.0,0.0,12.0,-7.0,24.5,14.66,2.99,30.6,0.0,1255.0,71.0,8.4,51.3,60.9,0.0,1,0.37,13.74
5.003,1200.0,0.0,12.0,-7.0,24.5,14.65,11.21,30.6,0.0,1257.0,71.0,8.4,51.4,60.9,0.0,1,0.54,13.74
5.103,1230.0,0.0,12.0,-7.0,24.5,14.63,9.25,30.6,0.0,1217.0,71.0,8.4,51.4,60.9,0.0,1,0.7,13.74
5.203,1190.0,0.0,12.0,-7.0,24.5,14.62,10.04,30.6,0.0,1196.0,71.0,8.4,51.4,60.9,0.0,1,0.83,13.74
5.303,1180.0,0.0,12.0,-7.0,24.5,14.61,8.22,30.6,0.0,1215.0,71.0,8.4,51.5,60.9,0.0,1,0.92,13.74
5.403,1200.0,0.0,12.0,-7.0,24.5,14.6,7.49,30.6,0.0,1175.0,71.0,8.4,51.5,60.9,0.0,1,0.98,13.74
5.503,1180.0,0.0,12.0,-7.0,24.5,14.6,9.23,30.6,0.0,1153.0,71.0,8.4,51.5,61.0,0.0,1,1.0,13.74
5.603,1200.0,0.0,12.0,-7.0,24.5,14.6,9.65,30.6,0.0,1233.0,71.0,8.4,51.5,61.0,0.0,1,0.98,13.74
5.703,1190.0,0.0,12.0,-7.0,24.5,14.61,9.58,30.6,0.0,1242.0,71.0,8.4,51.6,61.0,0.0,1,0.92,13.74
5.803,1200.0,0.0,12.0,-7.0,24.5,14.62,16.26,30.6,0.0,1203.0,71.0,8.4,51.6,61.0,0.0,1,0.82,13.74
5.903,1250.0,0.0,12.0,-7.0,24.5,14.63,9.59,30.6,0.0,1192.0,71.0,8.4,51.6,61.0,0.0,1,0.69,13.74
6.003,1220.0,0.0,12.0,-7.0,24.5,14.65,10.12,30.6,0.0,1205.0,71.0,8.4,51.6,61.0,0.0,1,0.54,13.74
6.103,1180.0,0.0,12.0,-7.0,24.5,14.66,9.71,30.6,0.0,1227.0,71.0,8.4,51.7,61.1,0.0,1,0.36,13.74
6.203,1190.0,0.0,12.0,-7.0,24.5,14.68,8.82,30.6,0.0,1212.0,71.0,8.4,51.7,61.1,0.0,1,0.17,13.74
6.303,1210.0,0.0,12.0,-7.0,24.5,14.7,10.05,30.6,0.0,1205.0,71.0,8.4,51.7,61.1,0.0,1,-0.03,13.74
6.403,1200.0,0.0,12.0,-7.0,24.5,14.72,8.87,30.6,0.0,1222.0,71.0,8.4,51.8,61.1,0.0,1,-0.23,13.74
6.503,1230.0,0.0,12.0,-7.0,24.5,14.74,11.25,30.6,0.0,1209.0,71.0,8.4,51.8,61.1,0.0,1,-0.42,13.74
6.603,1170.0,0.0,12.0,-7.0,24.5,14.76,11.36,30.6,0.0,1208.0,71.0,8.4,51.8,61.2,0.0,1,-0.59,13.74
6.703,1200.0,0.0,12.0,-7.0,24.5,14.77,7.96,30.6,0.0,1153.0,71.0,8.4,51.8,61.2,0.0,1,-0.74,13.74
6.803,1190.0,0.0,12.0,-7.0,24.5,14.79,7.75,30.6,0.0,1182.0,71.0,8.4,51.9,61.2,0.0,1,-0.86,13.74
6.903,1190.0,0.0,12.0,-7.0,24.5,14.79,9.47,30.6,0.0,1203.0,71.0,8.4,51.9,61.2,0.0,1,-0.94,13.74
7.004,1200.0,0.0,12.0,-7.0,24.5,14.8,6.97,30.6,0.0,1213.0,71.0,8.4,51.9,61.2,0.0,1,-0.99,13.74
7.104,1160.0,0.0,12.0,-7.0,24.5,14.8,7.59,30.6,0.0,1169.0,71.0,8.4,52.0,61.2,0.0,1,-1.0,13.74
7.204,1170.0,0.0,12.0,-7.0,24.5,14.8,7.82,30.6,0.0,1196.0,71.0,8.4,52.0,61.3,0.0,1,-0.97,13.74
7.304,1160.0,0.0,12.0,-7.0,24.5,14.79,5.01,30.6,0.0,1210.0,71.0,8.4,52.0,61.3,0.0,1,-0.89,13.74
7.404,1190.0,0.0,12.0,-7.0,24.5,14.78,8.51,30.6,0.0,1223.0,71.0,8.4,52.0,61.3,0.0,1,-0.79,13.74
7.504,1200.0,0.0,12.0,-7.0,24.5,14.77,9.69,30.6,0.0,1194.0,71.0,8.4,52.1,61.3,0.0,1,-0.65,13.74
7.604,1200.0,0.0,12.0,-7.0,24.5,14.75,7.32,30.6,0.0,1175.0,71.0,8.4,52.1,61.3,0.0,1,-0.49,13.74
7.704,1180.0,0.0,12.0,-7.0,24.5,14.73,10.61,30.6,0.0,1224.0,71.0,8.4,52.1,61.3,0.0,1,-0.3,13.74
7.804,1160.0,0.0,12.0,-7.0,24.5,14.71,6.59,30.6,0.0,1213.0,71.0,8.4,52.1,61.4,0.0,1,-0.11,13.74
7.904,1180.0,0.0,12.0,-7.0,24.5,14.69,10.68,30.6,0.0,1217.0,71.0,8.4,52.2,61.4,0.0,1,0.09,13.74
8.004,1180.0,0.0,12.0,-7.0,24.5,14.67,11.01,30.6,0.0,1201.0,71.0,8.4,52.2,61.4,0.0,1,0.29,13.74
8.104,1160.0,0.0,12.0,-7.0,24.5,14.65,9.1,30.6,0.0,1236.0,71.0,8.4,52.2,61.4,0.0,1,0.47,13.74
8.204,1180.0,0.0,12.0,-7.0,24.5,14.64,9.32,30.6,0.0,1191.0,71.0,8.4,52.3,61.4,0.0,1,0.64,13.74
8.304,1170.0,0.0,12.0,-7.0,24.5,14.62,8.98,30.6,0.0,1227.0,71.0,8.4,52.3,61.5,0.0,1,0.78,13.74
8.404,1210.0,0.0,12.0,-7.0,24.5,14.61,7.35,30.6,0.0,1180.0,71.0,8.4,52.3,61.5,0.0,1,0.89,13.74
8.504,1190.0,0.0,12.0,-7.0,24.5,14.6,10.13,30.6,0.0,1179.0,71.0,8.4,52.3,61.5,0.0,1,0.96,13.74
8.604,1190.0,0.0,12.0,-7.0,24.5,14.6,8.83,30.6,0.0,1177.0,71.0,8.4,52.4,61.5,0.0,1,1.0,13.74
8.704,1200.0,0.0,12.0,-7.0,24.5,14.6,7.86,30.6,0.0,1208.0,71.0,8.4,52.4,61.5,0.0,1,0.99,13.74
8.804,1220.0,0.0,12.0,-7.0,24.5,14.61,8.09,30.6,0.0,1202.0,71.0,8.4,52.4,61.5,0.0,1,0.95,13.74
8.904,1200.0,0.0,12.0,-7.0,24.5,14.61,9.08,30.6,0.0,1189.0,71.0,8.4,52.4,61.6,0.0,1,0.87,13.74
9.005,1220.0,0.0,12.0,-7.0,24.5,14.62,9.91,30.6,0.0,1182.0,71.0,8.4,52.5,61.6,0.0,1,0.75,13.74
9.105,1200.0,0.0,12.0,-7.0,24.5,14.64,7.41,30.6,0.0,1188.0,71.0,8.4,52.5,61.6,0.0,1,0.6,13.74
9.205,1210.0,0.0,12.0,-7.0,24.5,14.66,9.18,30.6,0.0,1200.0,71.0,8.4,52.5,61.6,0.0,1,0.43,13.74
9.305,1220.0,0.0,12.0,-7.0,24.5,14.68,9.77,30.6,0.0,1211.0,71.0,8.4,52.6,61.6,0.0,1,0.25,13.74
9.405,1190.0,0.0,12.0,-7.0,24.5,14.7,5.77,30.6,0.0,1188.0,71.0,8.4,52.6,61.6,0.0,1,0.05,13.74
9.505,1190.0,0.0,12.0,-7.0,24.5,14.71,10.63,30.6,0.0,1184.0,71.0,8.4,52.6,61.7,0.0,1,-0.15,13.74
9.605,1200.0,0.0,12.0,-7.0,24.5,14.73,8.79,30.6,0.0,1202.0,71.0,8.4,52.6,61.7,0.0,1,-0.34,13.74
9.705,1200.0,0.0,12.0,-7.0,24.5,14.75,10.2,30.6,0.0,1213.0,71.0,8.4,52.7,61.7,0.0,1,-0.52,13.74
9.805,1230.0,0.0,12.0,-7.0,24.5,14.77,8.53,30.6,0.0,1209.0,71.0,8.4,52.7,61.7,0.0,1,-0.68,13.74
9.905,1170.0,0.0,12.0,-7.0,24.5,14.78,8.94,30.6,0.0,1201.0,71.0,8.4,52.7,61.7,0.0,1,-0.81,13.74
10.005,1160.0,0.0,12.0,-7.0,24.5,14.79,9.64,30.6,0.0,1225.0,71.0,8.4,52.8,61.8,0.0,1,-0.91,13.74
10.105,1160.0,0.0,12.0,-7.0,24.5,14.8,13.16,30.6,0.0,1211.0,71.0,8.4,52.8,61.8,0.0,1,-0.98,13.74
10.205,1180.0,0.0,12.0,-7.0,24.5,14.8,8.52,30.6,0.0,1218.0,71.0,8.4,52.8,61.8,0.0,1,-1.0,13.74
10.305,1180.0,0.0,12.0,-7.0,24.5,14.8,10.47,30.6,0.0,1230.0,71.0,8.4,52.8,61.8,0.0,1,-0.98,13.74
10.405,1210.0,0.0,12.0,-7.0,24.5,14.79,10.96,30.6,0.0,1209.0,71.0,8.4,52.9,61.8,0.0,1,-0.93,13.74
10.505,1190.0,0.0,12.0,-7.0,24.5,14.78,11.43,30.6,0.0,1164.0,71.0,8.4,52.9,61.8,0.0,1,-0.84,13.74
10.605,1200.0,0.0,12.0,-7.0,24.5,14.77,9.25,30.6,0.0,1196.0,71.0,8.4,52.9,61.9,0.0,1,-0.71,13.74
10.705,1210.0,0.0,12.0,-7.0,24.5,14.76,9.2,30.6,0.0,1225.0,71.0,8.4,52.9,61.9,0.0,1,-0.56,13.74
10.805,1190.0,0.0,12.0,-7.0,24.5,14.74,6.48,30.6,0.0,1241.0,71.0,8.4,53.0,61.9,0.0,1,-0.38,13.74
10.905,1210.0,0.0,12.0,-7.0,24.5,14.72,13.97,30.6,0.0,1198.0,71.0,8.4,53.0,61.9,0.0,1,-0.19,13.74
11.006,1180.0,0.0,12.0,-7.0,24.5,14.7,7.24,30.6,0.0,1214.0,71.0,8.4,53.0,61.9,0.0,1,0.01,13.74
11.106,1240.0,0.0,12.0,-7.0,24.5,14.68,9.89,30.6,0.0,1174.0,71.0,8.4,53.1,61.9,0.0,1,0.21,13.74
11.206,1200.0,0.0,12.0,-7.0,24.5,14.66,11.76,30.6,0.0,1172.0,71.0,8.4,53.1,62.0,0.0,1,0.4,13.74
11.306,1190.0,0.0,12.0,-7.0,24.5,14.64,8.35,30.6,0.0,1201.0,71.0,8.4,53.1,62.0,0.0,1,0.57,13.74
11.406,1220.0,0.0,12.0,-7.0,24.5,14.63,10.64,30.6,0.0,1188.0,71.0,8.4,53.1,62.0,0.0,1,0.72,13.74
11.506,1190.0,0.0,12.0,-7.0,24.5,14.62,11.55,30.6,0.0,1222.0,71.0,8.4,53.2,62.0,0.0,1,0.85,13.74
11.606,1210.0,0.0,12.0,-7.0,24.5,14.61,5.48,30.6,0.0,1184.0,71.0,8.4,53.2,62.0,0.0,1,0.94,13.74
11.706,1190.0,0.0,12.0,-7.0,24.5,14.6,8.7,30.6,0.0,1192.0,71.0,8.4,53.2,62.0,0.0,1,0.99,13.74
11.806,1200.0,0.0,12.0,-7.0,24.5,14.6,7.5,30.6,0.0,1192.0,71.0,8.4,53.2,62.1,0.0,1,1.0,13.74
11.906,1220.0,0.0,12.0,-7.0,24.5,14.6,10.61,30.6,0.0,1173.0,71.0,8.4,53.3,62.1,0.0,1,0.97,13.74
12.006,1230.0,0.0,12.0,-7.0,24.5,14.61,7.05,30.6,0.0,1188.0,71.0,8.4,53.3,62.1,0.0,1,0.91,13.74
12.106,1180.0,0.0,12.0,-7.0,24.5,14.62,9.79,30.6,0.0,1183.0,71.0,8.4,53.3,62.1,0.0,1,0.8,13.74
12.206,1210.0,0.0,12.0,-7.0,24.5,14.63,9.51,30.6,0.0,1188.0,71.0,8.4,53.4,62.1,0.0,1,0.67,13.74
12.306,1170.0,0.0,12.0,-7.0,24.5,14.65,7.55,30.6,0.0,1210.0,71.0,8.4,53.4,62.2,0.0,1,0.51,13.74
12.406,1180.0,0.0,12.0,-7.0,24.5,14.67,7.11,30.6,0.0,1188.0,71.0,8.4,53.4,62.2,0.0,1,0.33,13.74
12.506,1180.0,0.0,12.0,-7.0,24.5,14.69,6.84,30.6,0.0,1184.0,71.0,8.4,53.4,62.2,0.0,1,0.13,13.74
12.606,1220.0,0.0,12.0,-7.0,24.5,14.71,9.22,30.6,0.0,1191.0,71.0,8.4,53.5,62.2,0.0,1,-0.07,13.74
12.706,1190.0,0.0,12.0,-7.0,24.5,14.73,8.23,30.6,0.0,1153.0,71.0,8.4,53.5,62.2,0.0,1,-0.26,13.74
12.806,1170.0,0.0,12.0,-7.0,24.5,14.75,12.23,30.6,0.0,1208.0,71.0,8.4,53.5,62.2,0.0,1,-0.45,13.74
12.906,1180.0,0.0,12.0,-7.0,24.5,14.76,7.59,30.6,0.0,1154.0,71.0,8.4,53.5,62.3,0.0,1,-0.62,13.74
13.007,1230.0,0.0,12.0,-7.0,24.5,14.78,6.63,30.6,0.0,1208.0,71.0,8.4,53.6,62.3,0.0,1,-0.76,13.74
13.107,1200.0,0.0,12.0,-7.0,24.5,14.79,10.19,30.6,0.0,1203.0,71.0,8.4,53.6,62.3,0.0,1,-0.88,13.74
13.207,1200.0,0.0,12.0,-7.0,24.5,14.8,9.43,30.6,0.0,1228.0,71.0,8.4,53.6,62.3,0.0,1,-0.95,13.74
13.307,1200.0,0.0,12.0,-7.0,24.5,14.8,9.57,30.6,0.0,1185.0,71.0,8.4,53.7,62.3,0.0,1,-0.99,13.74
13.407,1180.0,0.0,12.0,-7.0,24.5,14.8,9.99,30.6,0.0,1191.0,71.0,8.4,53.7,62.3,0.0,1,-1.0,13.74
13.507,1180.0,0.0,12.0,-7.0,24.5,14.8,8.32,30.6,0.0,1185.0,71.0,8.4,53.7,62.4,0.0,1,-0.96,13.74
13.607,1200.0,0.0,12.0,-7.0,24.5,14.79,9.22,30.6,0.0,1194.0,71.0,8.4,53.7,62.4,0.0,1,-0.88,13.74
13.707,1210.0,0.0,12.0,-7.0,24.5,14.78,8.9,30.6,0.0,1220.0,71.0,8.4,53.8,62.4,0.0,1,-0.77,13.74
13.807,1190.0,0.0,12.0,-7.0,24.5,14.76,11.31,30.6,0.0,1238.0,71.0,8.4,53.8,62.4,0.0,1,-0.62,13.74
13.907,1200.0,0.0,12.0,-7.0,24.5,14.75,8.91,30.6,0.0,1207.0,71.0,8.4,53.8,62.4,0.0,1,-0.46,13.74
14.007,1170.0,0.0,12.0,-7.0,24.5,14.73,11.7,30.6,0.0,1183.0,71.0,8.4,53.8,62.4,0.0,1,-0.27,13.74
14.107,1210.0,0.0,12.0,-7.0,24.5,14.71,7.57,30.6,0.0,1186.0,71.0,8.4,53.9,62.5,0.0,1,-0.07,13.74
14.207,1210.0,0.0,12.0,-7.0,24.5,14.69,9.63,30.6,0.0,1177.0,71.0,8.4,53.9,62.5,0.0,1,0.13,13.74
14.307,1190.0,0.0,12.0,-7.0,24.5,14.67,7.14,30.6,0.0,1199.0,71.0,8.4,53.9,62.5,0.0,1,0.32,13.74
14.407,1200.0,0.0,12.0,-7.0,24.5,14.65,11.61,30.6,0.0,1193.0,71.0,8.4,54.0,62.5,0.0,1,0.5,13.74
14.507,1160.0,0.0,12.0,-7.0,24.5,14.63,8.07,30.6,0.0,1201.0,71.0,8.4,54.0,62.5,0.0,1,0.66,13.74
14.607,1190.0,0.0,12.0,-7.0,24.5,14.62,11.16,30.6,0.0,1179.0,71.0,8.4,54.0,62.6,0.0,1,0.8,13.74
14.707,1200.0,0.0,12.0,-7.0,24.5,14.61,10.03,30.6,0.0,1204.0,71.0,8.4,54.0,62.6,0.0,1,0.9,13.74
14.807,1200.0,0.0,12.0,-7.0,24.5,14.6,8.45,30.6,0.0,1200.0,71.0,8.4,54.1,62.6,0.0,1,0.97,13.74
14.907,1200.0,0.0,12.0,-7.0,24.5,14.6,8.01,30.6,0.0,1204.0,71.0,8.4,54.1,62.6,0.0,1,1.0,13.74
15.008,1210.0,0.0,12.0,-7.0,24.5,14.6,6.59,30.6,0.0,1171.0,71.0,8.4,54.1,62.6,0.0,1,0.99,13.74
15.108,1210.0,0.0,12.0,-7.0,24.5,14.61,7.65,30.6,0.0,1197.0,71.0,8.4,54.2,62.6,0.0,1,0.94,13.74
15.208,1220.0,0.0,12.0,-7.0,24.5,14.62,9.26,30.6,0.0,1171.0,71.0,8.4,54.2,62.7,0.0,1,0.85,13.74
15.308,1210.0,0.0,12.0,-7.0,24.5,14.63,7.12,30.6,0.0,1203.0,71.0,8.4,54.2,62.7,0.0,1,0.73,13.74
15.408,1170.0,0.0,12.0,-7.0,24.5,14.64,9.21,30.6,0.0,1213.0,71.0,8.4,54.2,62.7,0.0,1,0.58,13.74
15.508,1180.0,0.0,12.0,-7.0,24.5,14.66,6.03,30.6,0.0,1205.0,71.0,8.4,54.3,62.7,0.0,1,0.4,13.74
15.608,1150.0,0.0,12.0,-7.0,24.5,14.68,8.78,30.6,0.0,1204.0,71.0,8.4,54.3,62.7,0.0,1,0.21,13.74
15.708,1190.0,0.0,12.0,-7.0,24.5,14.7,7.55,30.6,0.0,1229.0,71.0,8.4,54.3,62.7,0.0,1,0.02,13.74
15.808,1170.0,0.0,12.0,-7.0,24.5,14.72,10.6,30.6,0.0,1207.0,71.0,8.4,54.3,62.8,0.0,1,-0.18,13.74
15.908,1170.0,0.0,12.0,-7.0,24.5,14.74,9.52,30.6,0.0,1244.0,71.0,8.4,54.4,62.8,0.0,1,-0.37,13.74
16.008,1210.0,0.0,12.0,-7.0,24.5,14.76,7.88,30.6,0.0,1204.0,71.0,8.4,54.4,62.8,0.0,1,-0.55,13.74
16.108,1200.0,0.0,12.0,-7.0,24.5,14.77,6.2,30.6,0.0,1232.0,71.0,8.4,54.4,62.8,0.0,1,-0.71,13.74
16.208,1180.0,0.0,12.0,-7.0,24.5,14.78,10.39,30.6,0.0,1187.0,71.0,8.4,54.5,62.8,0.0,1,-0.83,13.74
16.308,1200.0,0.0,12.0,-7.0,24.5,14.79,10.07,30.6,0.0,1188.0,71.0,8.4,54.5,62.9,0.0,1,-0.93,13.74
16.408,1220.0,0.0,12.0,-7.0,24.5,14.8,9.83,30.6,0.0,1201.0,71.0,8.4,54.5,62.9,0.0,1,-0.98,13.74
16.508,1220.0,0.0,12.0,-7.0,24.5,14.8,7.81,30.6,0.0,1171.0,71.0,8.4,54.5,62.9,0.0,1,-1.0,13.74
16.608,1180.0,0.0,12.0,-7.0,24.5,14.8,8.72,30.6,0.0,1215.0,71.0,8.4,54.6,62.9,0.0,1,-0.98,13.74
16.708,1200.0,0.0,12.0,-7.0,24.5,14.79,11.55,30.6,0.0,1202.0,71.0,8.4,54.6,62.9,0.0,1,-0.92,13.74
16.808,1200.0,0.0,12.0,-7.0,24.5,14.78,9.08,30.6,0.0,1202.0,71.0,8.4,54.6,62.9,0.0,1,-0.82,13.74
16.908,1200.0,0.0,12.0,-7.0,24.5,14.77,8.56,30.6,0.0,1207.0,71.0,8.4,54.6,63.0,0.0,1,-0.69,13.74
17.009,1230.0,0.0,12.0,-7.0,24.5,14.75,10.4,30.6,0.0,1211.0,71.0,8.4,54.7,63.0,0.0,1,-0.53,13.74
17.109,1170.0,0.0,12.0,-7.0,24.5,14.73,9.34,30.6,0.0,1192.0,71.0,8.4,54.7,63.0,0.0,1,-0.35,13.74
